name,address,district,phone,website,services,price_range,rating,review_count,lat,lon,source
Fit & Beauty - Anna Ferska,"ul. Mroczna 7, 01-456, Warszawa",Bemowo,+48224009858,https://www.yelp.pl/biz/fit-a-beauty-anna-ferska-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Masaż, Makijażyści, Manikiur i pedikiur",,0.0,0,52.2394791,20.9342995,yelp:makeupartists
Instytut Urody Krępowieckiego10,"ul. Krępowieckiego 10/U13, Warszawa",Bemowo,+48516615179,https://www.yelp.pl/biz/instytut-urody-kr%C4%99powieckiego10-warszawa-2?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Masaż, Manikiur i pedikiur, Pielęgnacja skóry",,0.0,0,52.23905,20.93672,yelp:skincare
Klinika Urody i Pięknej Sylwetki,"ul. Bolkowska 2A, 01-466, Warszawa",Bemowo,+48505934100,https://www.yelp.pl/biz/klinika-urody-i-pi%C4%99knej-sylwetki-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Manikiur i pedikiur, Masaż, Pielęgnacja skóry",,0.0,0,52.24062,20.91608,yelp:skincare
Motylem Jestem,"ul.Powstańców Śląskich 61, 01-355, Warszawa",Bemowo,+48226661049,https://www.yelp.pl/biz/motylem-jestem-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Makijażyści, Pielęgnacja skóry, Fryzjer",,3.0,3,52.2322388,20.91436,yelp:skincare+yelp
Salon Fryzjersko Kosmetyczny i Salon Fryzjerski Anna Sosińska,"ul. Radiowa 18, 01-485, Warszawa",Bemowo,+48226388132,https://www.yelp.pl/biz/salon-fryzjersko-kosmetyczny-i-salon-fryzjerski-anna-sosi%C5%84ska-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Pielęgnacja skóry, Manikiur i pedikiur",,4.0,1,52.25013,20.9187,yelp:skincare
Salon Mistique,"ul. Górczewska 228B / 5, 01-460, Warszawa",Bemowo,+48224990882,https://www.yelp.pl/biz/salon-mistique-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Makijażyści, Solarium",50–150 PLN,4.0,1,52.2404923823762,20.8980190589753,yelp:makeupartists
Stolmar,"ul. Wrocławska 8, 01-493, Warszawa",Bemowo,+48225321585,https://www.yelp.pl/biz/stolmar-warszawa-3?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Pielęgnacja skóry,,0.0,0,52.2478714,20.9168396,yelp:skincare
Studio Urody Magdalena Dzido,"Brązownicza 5 /  30, 01-929, Warszawa",Bemowo,+48224986605,https://www.yelp.pl/biz/studio-urody-magdalena-dzido-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,Balwierz,,0.0,0,52.2715607,20.92556,yelp:barbers
LaLa-Med Instytut Urody I Medycyny Estetycznej,"ul. Leona Berensona 13, 03-287, Warszawa",Białołęka,+48223085353,https://www.yelp.pl/biz/lala-med-instytut-urody-i-medycyny-estetycznej-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Depilacja laserowa, Fryzjer",,0.0,0,52.32479,21.05604,yelp:skincare
Salon Urody Sylwia Sylwia Modzelan Czaplicka,"Głębocka 82, 03-287, Warszawa",Białołęka,+48223531008,https://www.yelp.pl/biz/salon-urody-sylwia-sylwia-modzelan-czaplicka-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Wyroby skórzane, Balwierz",,0.0,0,52.3151207,21.0673904,yelp:barbers
Activ Beauty & Care Expert,"ul. Klaudyny 12, 01-684, Warszawa",Bielany,+48228330274,https://www.yelp.pl/biz/activ-beauty-a-care-expert-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Fryzjer, Pielęgnacja skóry, Manikiur i pedikiur",,3.0,1,52.28073,20.97565,yelp:skincare
Alchemia Piękna,"ul. Dantego 7, 01-914, Warszawa",Bielany,+48228359276,https://www.yelp.pl/biz/alchemia-pi%C4%99kna-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Fryzjer",do 50 PLN,3.0,1,52.2863083,20.9359398,yelp:skincare
As Plus - Niemirska Agnieszka Niemirska Magdalena,"ul. Słodowiec 8 /  69, 01-708, Warszawa",Bielany,+48224662370,https://www.yelp.pl/biz/as-plus-niemirska-agnieszka-niemirska-magdalena-warszawa?adjust_creative=jzkWHrQ0ul6_pVxRueTMLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jzkWHrQ0ul6_pVxRueTMLg,"Pielęgnacja skóry, Fryzjer",,0.0,0,52.2744598,20.9624901,yelp:skincare
